U+2A6D7	𪛗
U+30EA8	𰺨
U+30EAA	𰺪
U+30EAB	𰺫
U+30EAD	𰺭
U+30EAF	𰺯
U+30EB0	𰺰
U+30EB2	𰺲
U+30EB5	𰺵
U+30EB7	𰺷
U+30EB9	𰺹
U+30EBD	𰺽
U+30EBF	𰺿
U+30EC2	𰻂
U+30EC5	𰻅
U+30EC6	𰻆
U+30EC7	𰻇
U+30ECD	𰻍
U+30ECE	𰻎
U+30ED0	𰻐
U+30ED4	𰻔
U+30ED5	𰻕
U+30ED6	𰻖
U+30ED7	𰻗
U+30EDC	𰻜
U+30EDD	𰻝
U+30EDE	𰻞
U+30EDF	𰻟
U+30EE0	𰻠
U+30EE1	𰻡
U+30EE2	𰻢
U+30EE5	𰻥
U+30EE6	𰻦
U+30EE8	𰻨
U+30EEB	𰻫
U+30EEC	𰻬
U+30EEE	𰻮
U+30EEF	𰻯
U+30EF1	𰻱
U+30EF3	𰻳
U+30EF7	𰻷
U+30EF9	𰻹
U+30EFB	𰻻
U+30F00	𰼀
U+30F02	𰼂
U+30F03	𰼃
U+30F05	𰼅
U+30F08	𰼈
U+30F0A	𰼊
U+30F0B	𰼋
U+30F0D	𰼍
U+30F0F	𰼏
U+30F11	𰼑
U+30F16	𰼖
U+30F18	𰼘
U+30F19	𰼙
U+30F1B	𰼛
U+30F1C	𰼜
U+30F1D	𰼝
U+30F1E	𰼞
U+30F20	𰼠
U+30F21	𰼡
U+30F22	𰼢
U+30F23	𰼣
U+30F24	𰼤
U+30F25	𰼥
U+30F26	𰼦
U+30F27	𰼧
U+30F28	𰼨
U+30F29	𰼩
U+30F2A	𰼪
U+30F2B	𰼫
U+30F2C	𰼬
U+30F2D	𰼭
U+30F2E	𰼮
U+30F30	𰼰
U+30F31	𰼱
U+30F32	𰼲
U+30F33	𰼳
U+30F34	𰼴
U+30F35	𰼵
U+30F39	𰼹
U+30F3A	𰼺
U+30F3B	𰼻
U+30F3E	𰼾
U+30F40	𰽀
U+30F41	𰽁
U+30F43	𰽃
U+30F44	𰽄
U+30F45	𰽅
U+30F46	𰽆
U+30F47	𰽇
U+30F48	𰽈
U+30F49	𰽉
U+30F4A	𰽊
U+30F4B	𰽋
U+30F4C	𰽌
U+30F50	𰽐
U+30F51	𰽑
U+30F52	𰽒
U+30F53	𰽓
U+30F54	𰽔
U+30F55	𰽕
U+30F56	𰽖
U+30F57	𰽗
U+30F58	𰽘
U+30F59	𰽙
U+30F5A	𰽚
U+30F5B	𰽛
U+30F5C	𰽜
U+30F5D	𰽝
U+30F5E	𰽞
U+30F5F	𰽟
U+30F60	𰽠
U+30F61	𰽡
U+30F62	𰽢
U+30F63	𰽣
U+30F64	𰽤
U+30F65	𰽥
U+30F66	𰽦
U+30F67	𰽧
U+30F68	𰽨
U+30F69	𰽩
U+30F6A	𰽪
U+30F6B	𰽫
U+30F6C	𰽬
U+30F6D	𰽭
U+30F6E	𰽮
U+30F6F	𰽯
U+30F70	𰽰
U+30F71	𰽱
U+30F72	𰽲
U+30F73	𰽳
U+30F74	𰽴
U+30F75	𰽵
U+30F76	𰽶
U+30F77	𰽷
U+30F78	𰽸
U+30F79	𰽹
U+30F7A	𰽺
U+30F7B	𰽻
U+30F7C	𰽼
U+30F7D	𰽽
U+30F7E	𰽾
U+30F7F	𰽿
U+30F80	𰾀
U+30F81	𰾁
U+30F82	𰾂
U+30F83	𰾃
U+30F84	𰾄
U+30F85	𰾅
U+30F86	𰾆
U+30F87	𰾇
U+30F88	𰾈
U+30F89	𰾉
U+30F8A	𰾊
U+30F8B	𰾋
U+30F8C	𰾌
U+30F8D	𰾍
U+30F8E	𰾎
U+30F8F	𰾏
U+30F90	𰾐
U+30F91	𰾑
U+30F92	𰾒
U+30F93	𰾓
U+30F94	𰾔
U+30F95	𰾕
U+30F96	𰾖
U+30F97	𰾗
U+30F98	𰾘
U+30F99	𰾙
U+30F9A	𰾚
U+30F9B	𰾛
U+30F9C	𰾜
U+30F9D	𰾝
U+30F9E	𰾞
U+30F9F	𰾟
U+30FA0	𰾠
U+30FA1	𰾡
U+30FA2	𰾢
U+30FA3	𰾣
U+30FA4	𰾤
U+30FA5	𰾥
U+30FA6	𰾦
U+30FA7	𰾧
U+30FA8	𰾨
U+30FA9	𰾩
U+30FAA	𰾪
U+30FAB	𰾫
U+30FAC	𰾬
U+30FAD	𰾭
U+30FAE	𰾮
U+30FAF	𰾯
U+30FB0	𰾰
U+30FB1	𰾱
U+30FB2	𰾲
U+30FB3	𰾳
U+30FB4	𰾴
U+30FB5	𰾵
U+30FB6	𰾶
U+30FB7	𰾷
U+30FB8	𰾸
U+30FB9	𰾹
U+30FBA	𰾺
U+30FBB	𰾻
U+30FBC	𰾼
U+30FBD	𰾽
U+30FBE	𰾾
U+30FBF	𰾿
U+30FC0	𰿀
U+30FC1	𰿁
U+30FC2	𰿂
U+30FC3	𰿃
U+30FC4	𰿄
U+30FC5	𰿅
U+30FC6	𰿆
U+30FC7	𰿇
U+30FC8	𰿈
U+30FC9	𰿉
U+30FCA	𰿊
U+30FCB	𰿋
U+30FCC	𰿌
U+30FD0	𰿐
U+30FD3	𰿓
U+30FD5	𰿕
U+30FD6	𰿖
U+30FD7	𰿗
U+30FD8	𰿘
U+30FDA	𰿚
U+30FDB	𰿛
U+30FDD	𰿝
U+30FDE	𰿞
U+30FDF	𰿟
U+30FE0	𰿠
U+30FE1	𰿡
U+30FE2	𰿢
U+30FE3	𰿣
U+30FE4	𰿤
U+30FE5	𰿥
U+30FE6	𰿦
U+30FE7	𰿧
U+30FE8	𰿨
U+30FE9	𰿩
U+30FEA	𰿪
U+30FEB	𰿫
U+30FEC	𰿬
U+30FED	𰿭
U+30FEE	𰿮
U+30FEF	𰿯
U+30FF0	𰿰
U+30FF1	𰿱
U+30FF2	𰿲
U+30FF3	𰿳
U+30FF4	𰿴
U+30FF5	𰿵
U+30FF6	𰿶
U+30FF7	𰿷
U+30FF8	𰿸
U+30FF9	𰿹
U+30FFA	𰿺
U+30FFB	𰿻
U+30FFC	𰿼
U+30FFD	𰿽
U+30FFE	𰿾
U+30FFF	𰿿
U+31000	𱀀
U+31001	𱀁
U+31002	𱀂
U+31006	𱀆
U+31007	𱀇
U+31009	𱀉
U+3100B	𱀋
U+3100D	𱀍
U+3100F	𱀏
U+31011	𱀑
U+31013	𱀓
U+31014	𱀔
U+31016	𱀖
U+31017	𱀗
U+31018	𱀘
U+3101A	𱀚
U+3101D	𱀝
U+31020	𱀠
U+31021	𱀡
U+31022	𱀢
U+31025	𱀥
U+31029	𱀩
U+3102C	𱀬
U+3102D	𱀭
U+3102F	𱀯
U+31033	𱀳
U+31035	𱀵
U+31036	𱀶
U+31037	𱀷
U+31038	𱀸
U+31039	𱀹
U+3103B	𱀻
U+3103C	𱀼
U+3103D	𱀽
U+3103F	𱀿
U+31043	𱁃
U+31044	𱁄
U+31045	𱁅
U+31046	𱁆
U+31047	𱁇
U+31048	𱁈
U+31049	𱁉
U+3104A	𱁊
U+3104B	𱁋
U+3104C	𱁌
U+3104F	𱁏
U+31050	𱁐
U+31051	𱁑
U+31052	𱁒
U+31055	𱁕
U+31056	𱁖
U+3105D	𱁝
U+3105E	𱁞
U+3105F	𱁟
U+31060	𱁠
U+31063	𱁣
U+31064	𱁤
U+31066	𱁦
U+3106A	𱁪
U+3106B	𱁫
U+3106C	𱁬
U+3106D	𱁭
U+3106E	𱁮
U+3106F	𱁯
U+31070	𱁰
U+31071	𱁱
U+31073	𱁳
U+31074	𱁴
U+31075	𱁵
U+31076	𱁶
U+31077	𱁷
U+31079	𱁹
U+3107A	𱁺
U+3107D	𱁽
U+3107E	𱁾
U+3107F	𱁿
U+31080	𱂀
U+31081	𱂁
U+31083	𱂃
U+31084	𱂄
U+31085	𱂅
U+31086	𱂆
U+31087	𱂇
U+31088	𱂈
U+31089	𱂉
U+3108A	𱂊
U+3108B	𱂋
U+3108C	𱂌
U+3108D	𱂍
U+3108E	𱂎
U+31090	𱂐
U+31092	𱂒
U+31094	𱂔
U+31095	𱂕
U+31096	𱂖
U+31099	𱂙
U+3109B	𱂛
U+310A0	𱂠
U+310A1	𱂡
U+310A2	𱂢
U+310A3	𱂣
U+310A4	𱂤
U+310A5	𱂥
U+310A6	𱂦
U+310A7	𱂧
U+310A8	𱂨
U+310A9	𱂩
U+310AA	𱂪
U+310AB	𱂫
U+310AC	𱂬
U+310AD	𱂭
U+310AE	𱂮
U+310AF	𱂯
U+310B0	𱂰
U+310B1	𱂱
U+310B2	𱂲
U+310B3	𱂳
U+310B4	𱂴
U+310B5	𱂵
U+310B6	𱂶
U+310B7	𱂷
U+310B8	𱂸
U+310B9	𱂹
U+310BA	𱂺
U+310BB	𱂻
U+310C3	𱃃
U+310C4	𱃄
U+310C9	𱃉
U+310CB	𱃋
U+310D4	𱃔
U+310D5	𱃕
U+310D6	𱃖
U+310D7	𱃗
U+310D8	𱃘
U+310D9	𱃙
U+310DA	𱃚
U+310DB	𱃛
U+310DC	𱃜
U+310DD	𱃝
U+310DE	𱃞
U+310DF	𱃟
U+310E0	𱃠
U+310E1	𱃡
U+310E2	𱃢
U+310E3	𱃣
U+310E6	𱃦
U+310E7	𱃧
U+310E8	𱃨
U+310E9	𱃩
U+310EA	𱃪
U+310EB	𱃫
U+310EC	𱃬
U+310EF	𱃯
U+310F1	𱃱
U+310F2	𱃲
U+310F3	𱃳
U+310F4	𱃴
U+310F5	𱃵
U+310F6	𱃶
U+310F7	𱃷
U+310F8	𱃸
U+310F9	𱃹
U+310FA	𱃺
U+310FB	𱃻
U+310FC	𱃼
U+310FD	𱃽
U+310FE	𱃾
U+310FF	𱃿
U+31100	𱄀
U+31101	𱄁
U+31102	𱄂
U+31103	𱄃
U+31104	𱄄
U+31105	𱄅
U+31106	𱄆
U+31107	𱄇
U+31108	𱄈
U+31109	𱄉
U+3110A	𱄊
U+3110B	𱄋
U+3110C	𱄌
U+3110F	𱄏
U+31110	𱄐
U+31114	𱄔
U+31117	𱄗
U+31118	𱄘
U+31119	𱄙
U+3111A	𱄚
U+3111D	𱄝
U+3111E	𱄞
U+31124	𱄤
U+31127	𱄧
U+31131	𱄱
U+31133	𱄳
U+31137	𱄷
U+3113B	𱄻
U+3113C	𱄼
U+3113D	𱄽
U+3113E	𱄾
U+3113F	𱄿
U+31140	𱅀
U+31141	𱅁
U+31142	𱅂
U+31143	𱅃
U+31144	𱅄
U+31145	𱅅
U+31146	𱅆
U+31147	𱅇
U+31148	𱅈
U+31149	𱅉
U+3114A	𱅊
U+3114B	𱅋
U+3114C	𱅌
U+3114D	𱅍
U+3114E	𱅎
U+3114F	𱅏
U+31150	𱅐
U+31151	𱅑
U+31152	𱅒
U+31153	𱅓
U+31154	𱅔
U+31155	𱅕
U+31156	𱅖
U+31157	𱅗
U+31158	𱅘
U+31159	𱅙
U+3115A	𱅚
U+3115B	𱅛
U+3115C	𱅜
U+3115D	𱅝
U+3115E	𱅞
U+3115F	𱅟
U+31160	𱅠
U+31161	𱅡
U+31162	𱅢
U+31163	𱅣
U+31164	𱅤
U+31165	𱅥
U+31166	𱅦
U+31167	𱅧
U+31168	𱅨
U+31169	𱅩
U+3116A	𱅪
U+3116B	𱅫
U+3116C	𱅬
U+3116D	𱅭
U+3116E	𱅮
U+31170	𱅰
U+31171	𱅱
U+31172	𱅲
U+31173	𱅳
U+31174	𱅴
U+31177	𱅷
U+3117A	𱅺
U+3117B	𱅻
U+3117C	𱅼
U+31180	𱆀
U+31181	𱆁
U+31183	𱆃
U+31184	𱆄
U+31185	𱆅
U+31186	𱆆
U+31188	𱆈
U+31189	𱆉
U+3118A	𱆊
U+3118B	𱆋
U+3118C	𱆌
U+3118D	𱆍
U+3118E	𱆎
U+3118F	𱆏
U+31193	𱆓
U+31196	𱆖
U+31197	𱆗
U+31198	𱆘
U+31199	𱆙
U+3119A	𱆚
U+3119B	𱆛
U+3119C	𱆜
U+3119D	𱆝
U+3119E	𱆞
U+3119F	𱆟
U+311A0	𱆠
U+311A1	𱆡
U+311A2	𱆢
U+311A3	𱆣
U+311A4	𱆤
U+311A5	𱆥
U+311A6	𱆦
U+311A7	𱆧
U+311A9	𱆩
U+311AB	𱆫
U+311AC	𱆬
U+311AE	𱆮
U+311AF	𱆯
U+311B0	𱆰
U+311B2	𱆲
U+311B4	𱆴
U+311B5	𱆵
U+311B9	𱆹
U+311C1	𱇁
U+311C2	𱇂
U+311C3	𱇃
U+311C4	𱇄
U+311C5	𱇅
U+311C8	𱇈
U+311C9	𱇉
U+311CA	𱇊
U+311CB	𱇋
U+311CD	𱇍
U+311CE	𱇎
U+311CF	𱇏
U+311D0	𱇐
U+311D1	𱇑
U+311D2	𱇒
U+311D3	𱇓
U+311D4	𱇔
U+311D5	𱇕
U+311D6	𱇖
U+311D7	𱇗
U+311D8	𱇘
U+311D9	𱇙
U+311DA	𱇚
U+311DB	𱇛
U+311DC	𱇜
U+311DD	𱇝
U+311DE	𱇞
U+311DF	𱇟
U+311E0	𱇠
U+311E1	𱇡
U+311E2	𱇢
U+311E3	𱇣
U+311E4	𱇤
U+311E5	𱇥
U+311E6	𱇦
U+311E7	𱇧
U+311E8	𱇨
U+311E9	𱇩
U+311EA	𱇪
U+311EB	𱇫
U+311EC	𱇬
U+311ED	𱇭
U+311EE	𱇮
U+311EF	𱇯
U+311F0	𱇰
U+311F1	𱇱
U+311F2	𱇲
U+311F3	𱇳
U+311F4	𱇴
U+311F5	𱇵
U+311F6	𱇶
U+311F7	𱇷
U+311F8	𱇸
U+311F9	𱇹
U+311FA	𱇺
U+311FB	𱇻
U+311FC	𱇼
U+311FD	𱇽
U+311FE	𱇾
U+311FF	𱇿
U+31200	𱈀
U+31201	𱈁
U+31202	𱈂
U+31203	𱈃
U+31204	𱈄
U+31205	𱈅
U+31206	𱈆
U+31207	𱈇
U+31208	𱈈
U+31209	𱈉
U+3120A	𱈊
U+3120B	𱈋
U+3120C	𱈌
U+3120D	𱈍
U+3120E	𱈎
U+3120F	𱈏
U+31210	𱈐
U+31211	𱈑
U+31212	𱈒
U+31213	𱈓
U+31214	𱈔
U+31215	𱈕
U+31216	𱈖
U+31217	𱈗
U+31218	𱈘
U+31219	𱈙
U+3121A	𱈚
U+3121B	𱈛
U+3121C	𱈜
U+31220	𱈠
U+31221	𱈡
U+31222	𱈢
U+31224	𱈤
U+31225	𱈥
U+31226	𱈦
U+31228	𱈨
U+31229	𱈩
U+3122A	𱈪
U+3122B	𱈫
U+3122D	𱈭
U+3122E	𱈮
U+3122F	𱈯
U+31230	𱈰
U+31231	𱈱
U+31232	𱈲
U+31234	𱈴
U+31236	𱈶
U+31237	𱈷
U+31239	𱈹
U+3123C	𱈼
U+3123D	𱈽
U+31241	𱉁
U+31247	𱉇
U+31248	𱉈
U+31249	𱉉
U+3124A	𱉊
U+3124B	𱉋
U+3124C	𱉌
U+3124D	𱉍
U+3124E	𱉎
U+3124F	𱉏
U+31250	𱉐
U+31251	𱉑
U+31252	𱉒
U+31253	𱉓
U+31254	𱉔
U+31255	𱉕
U+31256	𱉖
U+31257	𱉗
U+31258	𱉘
U+31259	𱉙
U+3125A	𱉚
U+3125B	𱉛
U+3125C	𱉜
U+3125D	𱉝
U+3125E	𱉞
U+3125F	𱉟
U+31260	𱉠
U+31261	𱉡
U+31262	𱉢
U+31263	𱉣
U+31264	𱉤
U+31265	𱉥
U+31266	𱉦
U+31267	𱉧
U+31268	𱉨
U+31269	𱉩
U+3126A	𱉪
U+3126B	𱉫
U+3126C	𱉬
U+3126D	𱉭
U+3126E	𱉮
U+3126F	𱉯
U+31270	𱉰
U+31271	𱉱
U+31272	𱉲
U+31273	𱉳
U+31274	𱉴
U+31275	𱉵
U+31276	𱉶
U+31277	𱉷
U+31278	𱉸
U+31279	𱉹
U+3127A	𱉺
U+3127B	𱉻
U+3127C	𱉼
U+3127D	𱉽
U+3127E	𱉾
U+3127F	𱉿
U+31280	𱊀
U+31281	𱊁
U+31282	𱊂
U+31283	𱊃
U+31284	𱊄
U+31285	𱊅
U+31286	𱊆
U+31287	𱊇
U+31288	𱊈
U+31289	𱊉
U+3128A	𱊊
U+3128B	𱊋
U+3128C	𱊌
U+3128D	𱊍
U+3128E	𱊎
U+3128F	𱊏
U+31290	𱊐
U+31291	𱊑
U+31292	𱊒
U+31293	𱊓
U+31294	𱊔
U+31295	𱊕
U+31296	𱊖
U+31297	𱊗
U+31298	𱊘
U+31299	𱊙
U+3129A	𱊚
U+3129B	𱊛
U+3129C	𱊜
U+3129D	𱊝
U+3129E	𱊞
U+3129F	𱊟
U+312A0	𱊠
U+312A1	𱊡
U+312A2	𱊢
U+312A3	𱊣
U+312A4	𱊤
U+312A5	𱊥
U+312A6	𱊦
U+312A7	𱊧
U+312A8	𱊨
U+312A9	𱊩
U+312AA	𱊪
U+312AB	𱊫
U+312AC	𱊬
U+312AD	𱊭
U+312AE	𱊮
U+312AF	𱊯
U+312B0	𱊰
U+312B1	𱊱
U+312B2	𱊲
U+312B3	𱊳
U+312B4	𱊴
U+312B5	𱊵
U+312B6	𱊶
U+312B7	𱊷
U+312B8	𱊸
U+312B9	𱊹
U+312BA	𱊺
U+312BB	𱊻
U+312BC	𱊼
U+312BD	𱊽
U+312BE	𱊾
U+312C0	𱋀
U+312C1	𱋁
U+312C2	𱋂
U+312C3	𱋃
U+312C4	𱋄
U+312C5	𱋅
U+312C6	𱋆
U+312C7	𱋇
U+312C8	𱋈
U+312C9	𱋉
U+312CA	𱋊
U+312CB	𱋋
U+312CC	𱋌
U+312CD	𱋍
U+312CE	𱋎
U+312CF	𱋏
U+312D0	𱋐
U+312D1	𱋑
U+312D2	𱋒
U+312D3	𱋓
U+312D4	𱋔
U+312D5	𱋕
U+312D6	𱋖
U+312D7	𱋗
U+312D8	𱋘
U+312D9	𱋙
U+312DA	𱋚
U+312DB	𱋛
U+312DC	𱋜
U+312DD	𱋝
U+312DE	𱋞
U+312DF	𱋟
U+312E0	𱋠
U+312E1	𱋡
U+312E2	𱋢
U+312E3	𱋣
U+312E4	𱋤
U+312E5	𱋥
U+312E6	𱋦
U+312E7	𱋧
U+312E8	𱋨
U+312E9	𱋩
U+312EA	𱋪
U+312EB	𱋫
U+312EC	𱋬
U+312ED	𱋭
U+312EE	𱋮
U+312EF	𱋯
U+312F0	𱋰
U+312F1	𱋱
U+312F2	𱋲
U+312F3	𱋳
U+312F4	𱋴
U+312F5	𱋵
U+312F6	𱋶
U+312F7	𱋷
U+312F9	𱋹
U+312FA	𱋺
U+312FB	𱋻
U+312FC	𱋼
U+312FD	𱋽
U+312FE	𱋾
U+312FF	𱋿
U+31300	𱌀
U+31301	𱌁
U+31302	𱌂
U+31303	𱌃
U+31304	𱌄
U+31305	𱌅
U+31306	𱌆
U+31307	𱌇
U+31308	𱌈
U+31309	𱌉
U+3130A	𱌊
U+3130D	𱌍
U+3130F	𱌏
U+31310	𱌐
U+31311	𱌑
U+31312	𱌒
U+31313	𱌓
U+31314	𱌔
U+31315	𱌕
U+31316	𱌖
U+31317	𱌗
U+31318	𱌘
U+31319	𱌙
U+3131A	𱌚
U+3131B	𱌛
U+3131D	𱌝
U+31320	𱌠
U+31321	𱌡
U+31323	𱌣
U+31326	𱌦
U+31327	𱌧
U+31328	𱌨
U+31329	𱌩
U+3132A	𱌪
U+3132B	𱌫
U+3132C	𱌬
U+3132D	𱌭
U+3132E	𱌮
U+3132F	𱌯
U+31330	𱌰
U+31331	𱌱
U+31332	𱌲
U+31333	𱌳
U+31334	𱌴
U+31335	𱌵
U+31336	𱌶
U+31337	𱌷
U+31338	𱌸
U+31339	𱌹
U+3133A	𱌺
U+3133B	𱌻
U+3133C	𱌼
U+3133D	𱌽
U+3133E	𱌾
U+3133F	𱌿
U+31340	𱍀
U+31341	𱍁
U+31342	𱍂
U+31343	𱍃
U+31344	𱍄
U+31345	𱍅
U+31346	𱍆
U+31347	𱍇
U+31348	𱍈
U+31349	𱍉
U+3134A	𱍊
U+31350	𱍐
U+31351	𱍑
U+31352	𱍒
U+31354	𱍔
U+31355	𱍕
U+31356	𱍖
U+31357	𱍗
U+31358	𱍘
U+3135A	𱍚
U+3135B	𱍛
U+3135D	𱍝
U+3135E	𱍞
U+3135F	𱍟
U+31360	𱍠
U+31361	𱍡
U+31363	𱍣
U+31364	𱍤
U+31365	𱍥
U+31366	𱍦
U+3136A	𱍪
U+3136B	𱍫
U+3136C	𱍬
U+3136D	𱍭
U+3136E	𱍮
U+3136F	𱍯
U+31370	𱍰
U+31371	𱍱
U+31372	𱍲
U+31373	𱍳
U+31374	𱍴
U+31375	𱍵
U+31376	𱍶
U+31377	𱍷
U+31378	𱍸
U+31379	𱍹
U+3137A	𱍺
U+3137C	𱍼
U+3137E	𱍾
U+3137F	𱍿
U+31380	𱎀
U+31382	𱎂
U+31384	𱎄
U+31385	𱎅
U+31386	𱎆
U+31388	𱎈
U+3138F	𱎏
U+31391	𱎑
U+31392	𱎒
U+31394	𱎔
U+31396	𱎖
U+31399	𱎙
U+3139A	𱎚
U+3139B	𱎛
U+3139C	𱎜
U+3139D	𱎝
U+3139E	𱎞
U+3139F	𱎟
U+313A0	𱎠
U+313A1	𱎡
U+313A2	𱎢
U+313A4	𱎤
U+313A5	𱎥
U+313A6	𱎦
U+313A7	𱎧
U+313A8	𱎨
U+313A9	𱎩
U+313AA	𱎪
U+313AB	𱎫
U+313AC	𱎬
U+313AD	𱎭
U+313AF	𱎯
U+313B0	𱎰
U+313B1	𱎱
U+313B2	𱎲
U+313B3	𱎳
U+313B6	𱎶
U+313B8	𱎸
U+313B9	𱎹
U+313BA	𱎺
U+313BC	𱎼
U+313BD	𱎽
U+313BE	𱎾
U+313BF	𱎿
U+313C0	𱏀
U+313C1	𱏁
U+313C2	𱏂
U+313C3	𱏃
U+313C5	𱏅
U+313C6	𱏆
U+313C7	𱏇
U+313C8	𱏈
U+313CA	𱏊
U+313CB	𱏋
U+313CE	𱏎
U+313CF	𱏏
U+313D0	𱏐
U+313D1	𱏑
U+313D3	𱏓
U+313D4	𱏔
U+313D5	𱏕
U+313D7	𱏗
U+313D8	𱏘
U+313D9	𱏙
U+313DB	𱏛
U+313DC	𱏜
U+313DD	𱏝
U+313DE	𱏞
U+313DF	𱏟
U+313E0	𱏠
U+313E1	𱏡
U+313E2	𱏢
U+313E3	𱏣
U+313E4	𱏤
U+313E7	𱏧
U+313E9	𱏩
U+313EA	𱏪
U+313EC	𱏬
U+313ED	𱏭
U+313F1	𱏱
U+313F3	𱏳
U+313F4	𱏴
U+313F5	𱏵
U+313F7	𱏷
U+313F8	𱏸
U+313F9	𱏹
U+313FB	𱏻
U+313FE	𱏾
U+313FF	𱏿
U+31400	𱐀
U+31401	𱐁
U+31402	𱐂
U+31403	𱐃
U+31404	𱐄
U+31405	𱐅
U+31406	𱐆
U+31407	𱐇
U+31408	𱐈
U+31409	𱐉
U+3140A	𱐊
U+3140C	𱐌
U+3140D	𱐍
U+3140E	𱐎
U+3140F	𱐏
U+31410	𱐐
U+31413	𱐓
U+31414	𱐔
U+31415	𱐕
U+31416	𱐖
U+31417	𱐗
U+31419	𱐙
U+3141A	𱐚
U+3141B	𱐛
U+3141C	𱐜
U+3141F	𱐟
U+31420	𱐠
U+31421	𱐡
U+31423	𱐣
U+31424	𱐤
U+31425	𱐥
U+31426	𱐦
U+31429	𱐩
U+3142A	𱐪
U+3142E	𱐮
U+3142F	𱐯
U+31430	𱐰
U+31432	𱐲
U+31433	𱐳
U+31434	𱐴
U+31435	𱐵
U+31436	𱐶
U+31439	𱐹
U+3143A	𱐺
U+3143B	𱐻
U+3143C	𱐼
U+3143D	𱐽
U+3143F	𱐿
U+31440	𱑀
U+31441	𱑁
U+31442	𱑂
U+31445	𱑅
U+31449	𱑉
U+3144D	𱑍
U+3144E	𱑎
U+3144F	𱑏
U+31451	𱑑
U+31453	𱑓
U+31455	𱑕
U+31456	𱑖
U+31458	𱑘
U+31459	𱑙
U+3145A	𱑚
U+3145B	𱑛
U+3145D	𱑝
U+3145E	𱑞
U+3145F	𱑟
U+31462	𱑢
U+31463	𱑣
U+31465	𱑥
U+31467	𱑧
U+31468	𱑨
U+3146B	𱑫
U+31470	𱑰
U+31471	𱑱
U+31472	𱑲
U+31473	𱑳
U+31474	𱑴
U+31475	𱑵
U+31477	𱑷
U+31479	𱑹
U+3147A	𱑺
U+3147E	𱑾
U+3147F	𱑿
U+31480	𱒀
U+31481	𱒁
U+31482	𱒂
U+31483	𱒃
U+31484	𱒄
U+31485	𱒅
U+31486	𱒆
U+31487	𱒇
U+31488	𱒈
U+31489	𱒉
U+3148A	𱒊
U+3148B	𱒋
U+3148C	𱒌
U+3148E	𱒎
U+31490	𱒐
U+31491	𱒑
U+31492	𱒒
U+31493	𱒓
U+31494	𱒔
U+31495	𱒕
U+31496	𱒖
U+31497	𱒗
U+31498	𱒘
U+31499	𱒙
U+3149A	𱒚
U+3149B	𱒛
U+3149C	𱒜
U+3149D	𱒝
U+3149E	𱒞
U+3149F	𱒟
U+314A0	𱒠
U+314A1	𱒡
U+314A2	𱒢
U+314A3	𱒣
U+314A4	𱒤
U+314A5	𱒥
U+314A6	𱒦
U+314A7	𱒧
U+314A8	𱒨
U+314A9	𱒩
U+314AA	𱒪
U+314AB	𱒫
U+314AC	𱒬
U+314AD	𱒭
U+314AF	𱒯
U+314B0	𱒰
U+314B1	𱒱
U+314B2	𱒲
U+314B3	𱒳
U+314B4	𱒴
U+314B5	𱒵
U+314B6	𱒶
U+314B8	𱒸
U+314B9	𱒹
U+314BA	𱒺
U+314BB	𱒻
U+314BC	𱒼
U+314BD	𱒽
U+314BE	𱒾
U+314BF	𱒿
U+314C0	𱓀
U+314C1	𱓁
U+314C2	𱓂
U+314C3	𱓃
U+314C4	𱓄
U+314C5	𱓅
U+314C6	𱓆
U+314C7	𱓇
U+314C8	𱓈
U+314C9	𱓉
U+314CA	𱓊
U+314CB	𱓋
U+314CC	𱓌
U+314CD	𱓍
U+314CF	𱓏
U+314D0	𱓐
U+314D1	𱓑
U+314D2	𱓒
U+314D3	𱓓
U+314D4	𱓔
U+314D5	𱓕
U+314D6	𱓖
U+314D7	𱓗
U+314D8	𱓘
U+314D9	𱓙
U+314DA	𱓚
U+314DB	𱓛
U+314DC	𱓜
U+314DD	𱓝
U+314DE	𱓞
U+314DF	𱓟
U+314E0	𱓠
U+314E1	𱓡
U+314E2	𱓢
U+314E3	𱓣
U+314E4	𱓤
U+314E5	𱓥
U+314E6	𱓦
U+314E7	𱓧
U+314E8	𱓨
U+314E9	𱓩
U+314EA	𱓪
U+314EB	𱓫
U+314EC	𱓬
U+314ED	𱓭
U+314EE	𱓮
U+314EF	𱓯
U+314F0	𱓰
U+314F2	𱓲
U+314F3	𱓳
U+314F4	𱓴
U+314F6	𱓶
U+314F7	𱓷
U+314F8	𱓸
U+314F9	𱓹
U+314FA	𱓺
U+314FB	𱓻
U+314FC	𱓼
U+314FD	𱓽
U+314FE	𱓾
U+314FF	𱓿
U+31500	𱔀
U+31501	𱔁
U+31502	𱔂
U+31503	𱔃
U+31504	𱔄
U+31505	𱔅
U+31506	𱔆
U+31507	𱔇
U+31509	𱔉
U+3150A	𱔊
U+3150B	𱔋
U+3150C	𱔌
U+3150D	𱔍
U+3150E	𱔎
U+3150F	𱔏
U+31510	𱔐
U+31511	𱔑
U+31512	𱔒
U+31513	𱔓
U+31514	𱔔
U+31515	𱔕
U+31517	𱔗
U+31518	𱔘
U+3151A	𱔚
U+3151C	𱔜
U+3151D	𱔝
U+3151E	𱔞
U+3151F	𱔟
U+31520	𱔠
U+31521	𱔡
U+31522	𱔢
U+31523	𱔣
U+31524	𱔤
U+31525	𱔥
